tahun_kelahiran,pendidikan,status_pernikahan,pendapatan,jumlah_anak_balita,jumlah_anak_remaja,terakhir_belanja,belanja_buah,belanja_daging,belanja_ikan,belanja_kue,pembelian_diskon,pembelian_web,pembelian_toko,keluhan,jumlah_promosi,day_after,day,month,year
1962,2,2,149288670,0,0,30,102769,293659,63927,27675,2,6,9,0,4,568,19,7,2013
1965,3,1,140260224,0,1,68,90149,242761,71161,80212,2,3,9,0,3,561,14,7,2013
1972,3,3,84072000,1,1,64,8727,190162,18207,28322,7,6,2,0,0,545,28,6,2013
1965,4,1,63723000,0,1,20,2023,33092,30345,8092,3,3,3,0,0,343,8,12,2012
1972,2,1,32695112,1,0,63,10577,21865,34444,7562,2,3,3,0,0,567,18,7,2013
1963,2,2,154143009,0,0,11,207365,705307,190416,138627,0,9,6,0,5,568,18,7,2013
1975,2,2,115341230,0,1,18,87368,330594,33706,66207,4,7,4,0,2,561,16,7,2013
1969,2,0,77551000,1,1,45,12138,287266,36147,24276,9,6,8,0,4,443,18,3,2013
1956,2,0,125538551,0,0,49,99236,697118,180357,177059,0,8,8,0,5,561,14,7,2013
1951,4,2,128180000,0,1,6,2023,210392,36414,70805,4,6,10,0,0,741,10,1,2014
1960,2,0,191282042,0,0,25,81587,1414470,317865,243702,0,3,10,0,2,561,15,7,2013
1951,3,1,133730071,0,1,19,3406,115564,27258,567,2,11,7,0,4,562,15,7,2013
1972,2,1,101782864,0,1,39,17552,82841,57415,24880,1,5,2,0,4,565,16,7,2013
1957,2,2,127351156,0,0,71,114834,924963,402942,206871,1,1,7,0,1,560,14,7,2013
1985,3,1,183830508,0,0,80,152181,1705453,108084,96285,2,6,9,0,3,561,14,7,2013
1981,1,1,164727833,0,0,20,57758,622295,116296,110116,1,3,9,0,5,560,15,7,2013
1966,2,1,156816505,0,0,69,50226,690497,128541,59059,2,3,4,0,3,562,16,7,2013
1970,2,1,147931959,0,0,15,98444,530703,80838,26685,0,4,12,0,4,566,18,7,2013
1969,2,1,151620756,0,0,61,147824,762517,340381,129368,1,7,9,0,0,566,18,7,2013
1977,1,2,47554368,1,0,93,12758,39949,17425,701,1,2,5,0,2,553,6,7,2013
1963,2,0,72377698,0,1,67,7946,13167,9932,4966,2,2,4,0,1,560,14,7,2013
1979,2,1,92391000,1,1,34,0,36414,12138,8092,3,0,3,0,0,354,19,12,2012
1979,2,0,143870572,0,0,28,95056,829973,212035,80848,2,2,10,0,1,560,13,7,2013
1976,1,1,40894000,0,0,12,30345,18207,22253,26299,1,5,1,0,6,486,30,4,2013
1973,1,2,54600000,1,1,17,0,16184,24276,6069,5,5,4,0,1,842,21,4,2014
1964,2,0,87543523,1,0,83,21622,216291,4610,64369,5,6,1,0,0,563,17,7,2013
1958,3,0,91727025,1,1,51,0,26299,10115,2023,2,0,5,0,1,884,2,6,2014
1965,4,0,103995000,0,1,45,0,78897,14161,0,3,7,8,0,0,858,7,5,2014
1973,3,1,83613000,0,1,47,14161,26299,18207,18207,0,0,0,0,1,673,3,11,2013
1962,1,0,81015971,0,1,53,14281,19922,11032,8581,1,1,1,0,2,559,14,7,2013
1957,2,1,111318457,0,1,64,31589,229295,17973,2139,5,8,7,0,4,562,16,7,2013
1968,3,4,71839353,1,0,36,12583,22563,0,4113,0,0,5,0,0,561,14,7,2013
1972,2,2,101938145,0,0,38,18146,97034,68421,28368,0,5,2,0,4,565,17,7,2013
1969,3,0,73085914,1,1,100,5244,26400,7210,6724,3,1,3,0,0,559,11,7,2013
1967,2,2,8543000,0,1,0,2023,14161,2023,307006,2,27,0,0,2,642,3,10,2013
1954,3,1,117238906,0,1,69,3458,136371,2870,25572,1,4,11,0,3,562,15,7,2013
1944,2,1,49163527,0,0,2,8215,4938,4653,8861,0,1,4,0,0,561,17,7,2013
1971,4,1,57964000,1,0,86,2023,42483,0,4046,3,2,5,0,0,551,4,7,2013
1949,4,1,147953000,0,1,57,147679,349979,28322,26299,3,6,13,0,0,754,23,1,2014
1977,2,2,136464000,0,1,22,38437,736372,40460,103173,5,8,9,0,0,252,8,9,2012
1956,1,1,151796423,0,0,30,198915,524880,145106,219443,2,4,8,0,1,568,19,7,2013
1966,1,1,171771140,0,0,69,50638,701899,307211,58125,1,5,7,0,1,563,13,7,2013
1976,1,1,120262915,0,1,31,54117,223804,163870,121540,0,10,8,0,3,567,18,7,2013
1967,2,1,80085386,0,0,45,9583,30559,11553,9422,1,0,3,0,0,560,14,7,2013
1980,2,1,147400000,0,0,58,182070,752556,202300,165886,1,10,7,0,0,853,2,5,2014
1987,2,0,81476049,1,0,101,38415,27767,2120,26538,0,1,5,0,0,558,12,7,2013
1967,2,3,147856000,0,1,0,76874,362117,0,8092,1,8,10,0,2,351,16,12,2012
1977,1,1,100767199,0,0,53,32629,3048446,45768,36117,0,0,3,0,3,556,12,7,2013
1985,2,2,187973745,0,0,82,223502,811554,147453,273163,0,4,7,0,3,562,18,7,2013
1968,3,0,77000492,1,0,37,14550,177368,43940,23874,4,4,5,0,5,567,17,7,2013
1966,2,2,155173842,0,0,64,51651,842478,87659,72723,1,5,12,0,4,561,14,7,2013
1970,1,1,192106244,0,0,17,42896,806968,180072,216989,0,5,8,0,2,561,15,7,2013
1969,4,1,136018484,0,0,66,73673,930731,94666,82405,1,5,7,0,2,561,15,7,2013
1969,2,1,185326028,0,0,41,282185,1487059,348588,300467,0,3,10,0,2,566,18,7,2013
1965,3,2,145981885,0,1,87,74245,205515,14196,5919,3,7,8,0,0,567,19,7,2013
1958,3,1,165300739,0,0,85,206346,1599943,23830,117753,0,6,8,0,4,568,20,7,2013
1945,4,2,129321000,0,0,67,92592,568463,151725,86989,0,5,4,0,3,502,16,5,2013
1969,2,1,147215196,0,0,53,31308,826261,173885,35890,0,9,11,0,4,561,14,7,2013
1954,2,0,96261000,0,1,59,82943,171955,99127,20230,7,6,3,0,3,297,23,10,2012
1967,3,0,122675586,0,1,93,3707,84611,4110,15068,6,2,4,0,0,561,14,7,2013
1977,2,1,168212951,0,0,84,169399,917986,400889,244821,2,8,8,0,1,561,16,7,2013
1963,2,0,130340055,0,0,66,29933,558998,103943,40850,1,3,7,0,1,560,14,7,2013
1945,3,2,117490417,0,0,74,15450,219634,6326,19565,1,7,7,0,3,561,14,7,2013
1953,2,0,118571027,0,0,56,297842,465624,184115,169633,1,7,11,0,6,561,16,7,2013
1957,3,2,160443289,0,0,52,28668,1147786,120965,60492,0,2,8,0,2,560,15,7,2013
1912,4,1,170019169,0,0,37,243851,1140397,186836,135737,2,4,5,0,3,568,22,7,2013
1950,3,3,73909000,0,0,61,2023,167909,15843,10115,1,9,6,0,0,533,16,6,2013
1951,3,2,138288898,0,0,23,2647,454173,216688,197856,3,6,12,0,1,567,19,7,2013
1975,3,0,99740644,1,0,62,13973,140737,4192,11032,3,4,3,0,1,562,15,7,2013
1955,3,2,159160000,0,1,27,113288,481474,80920,0,0,11,5,0,1,770,8,2,2014
1989,2,0,18118000,1,0,94,0,20230,0,2023,0,2,4,0,0,718,18,12,2013
1961,4,1,92212335,0,0,46,18907,41406,2619,14712,4,5,5,0,5,565,16,7,2013
1957,2,1,136893944,0,1,88,221429,419825,148184,188097,4,10,6,0,3,568,19,7,2013
1965,2,2,38682689,0,0,32,6007,13339,13498,12358,0,1,2,0,2,567,18,7,2013
1948,3,1,162320000,0,0,58,58667,1282582,36414,89012,2,6,5,0,1,710,10,12,2013
1953,3,3,141445000,0,0,72,20230,436968,34391,30345,1,6,12,0,3,519,2,6,2013
1971,2,2,112707330,0,0,74,25148,247455,26209,19224,5,3,7,0,6,560,14,7,2013
1958,3,1,137695468,0,1,100,15539,96781,18794,16832,3,5,4,0,4,561,13,7,2013
1970,2,2,73998000,1,0,83,72828,121380,59258,66759,7,4,6,0,0,253,9,9,2012
1953,2,0,101207000,0,1,46,6069,165886,22253,0,5,7,11,0,0,568,21,7,2013
1963,3,1,169420884,0,0,55,84137,827603,230016,115583,1,3,10,0,6,560,13,7,2013
1977,4,2,101829653,1,0,0,6069,143633,4046,0,2,2,8,0,0,410,13,2,2013
1962,2,0,166159973,0,0,88,152852,1821926,78729,155749,0,6,10,0,4,561,16,7,2013
1979,1,1,164672781,0,0,21,61264,609206,125762,104332,1,3,9,0,5,561,15,7,2013
1964,3,1,162933272,0,0,88,137907,688064,191165,105497,3,6,10,0,4,563,18,7,2013
1951,2,2,128747947,0,0,59,31587,335001,105408,17497,1,2,6,0,0,563,14,7,2013
1970,3,0,88144585,1,0,54,11200,73966,33057,719,0,2,4,0,1,560,15,7,2013
1956,2,1,149255146,0,0,63,215415,925823,296954,272034,1,6,9,0,2,568,20,7,2013
1977,2,0,56394000,1,0,45,16184,271082,18207,0,2,3,4,0,2,355,20,12,2012
1954,3,0,108977085,1,1,15,2023,84772,2428,1011,9,7,7,0,4,565,15,7,2013
1959,2,0,138622039,0,0,30,77938,1005271,201987,129120,2,2,5,0,5,566,18,7,2013
1956,2,1,110333199,0,1,66,35653,252616,21761,0,6,9,8,0,4,561,14,7,2013
1980,3,1,175108903,0,0,17,39560,766240,15078,36620,0,9,5,0,5,557,11,7,2013
1954,3,1,124075650,0,1,13,13286,125466,18057,1788,8,4,9,0,5,566,19,7,2013
1958,2,1,99315688,0,1,85,7857,105051,9822,292,2,2,5,0,0,567,18,7,2013
1973,2,0,14715000,1,0,58,0,26299,24276,16184,2,3,5,0,1,726,26,12,2013
1974,2,1,168414616,0,0,52,122613,578613,141853,171226,1,10,9,0,5,560,13,7,2013
1960,3,2,112749562,0,1,56,13881,147399,6906,7673,3,10,5,0,4,565,16,7,2013
1978,2,1,138347076,0,0,4,44459,936827,255674,60877,0,7,7,0,5,561,12,7,2013
1974,1,0,147845000,0,0,68,61237,295173,985,34678,1,2,3,0,4,560,15,7,2013
1951,2,1,136633211,0,0,9,49431,1350743,136051,42264,0,3,11,0,6,561,16,7,2013
1975,2,2,136200732,0,0,57,37862,910119,68782,120952,1,8,8,0,2,560,13,7,2013
1974,2,3,139484462,0,0,47,21818,529586,153081,40104,4,3,10,0,5,561,14,7,2013
1950,1,2,141354782,0,0,0,150999,482023,37304,73382,0,9,7,0,4,563,17,7,2013
1973,2,2,69726180,1,0,40,1142,38019,8709,0,1,1,4,0,2,560,16,7,2013
1945,3,1,164310909,0,0,70,193050,1492009,13171,85115,0,1,7,0,4,561,16,7,2013
1957,2,1,179013929,0,0,54,80026,599274,188872,119136,0,6,3,0,1,568,19,7,2013
1968,3,0,108782455,0,1,49,12679,162306,19790,23335,5,3,7,0,3,568,17,7,2013
1954,2,2,151665886,0,1,77,169502,340088,142379,77150,3,9,6,0,4,568,20,7,2013
1955,3,1,170132465,0,0,60,107264,873062,349556,240590,0,3,11,0,6,561,16,7,2013
1962,3,1,180313308,0,0,70,173886,1441258,82125,145276,0,5,7,0,5,562,16,7,2013
1968,2,1,147938140,0,0,14,62372,274488,16823,5791,1,4,10,0,4,568,18,7,2013
1984,2,0,179154008,0,0,27,151476,1405101,229005,246761,0,7,9,0,6,560,14,7,2013
1954,2,3,132954909,0,0,24,101550,1348989,65317,64630,1,6,8,0,6,565,18,7,2013
1978,2,0,97163000,0,1,46,2023,56112,0,8092,1,2,2,0,0,550,3,7,2013
1983,2,1,67244498,1,0,54,16549,77415,12687,31251,3,3,3,0,1,560,14,7,2013
1976,4,0,171027747,0,0,86,212037,1404392,144376,180636,0,6,8,0,6,560,14,7,2013
1980,2,0,186710006,0,0,76,147893,1832130,67608,72459,2,3,9,0,5,558,10,7,2013
1972,2,0,174427435,0,0,27,90804,1507322,107038,268331,0,8,9,0,6,560,15,7,2013
1967,2,0,124690610,0,1,48,25802,507155,23817,33741,1,5,10,0,4,560,14,7,2013
1990,2,1,140671000,0,0,77,58667,566440,374255,117334,3,5,8,0,1,457,1,4,2013
1982,2,2,166115615,0,0,16,60612,930609,69594,108714,2,3,10,0,6,560,13,7,2013
1977,4,0,103627000,0,1,67,0,281197,22253,22253,0,5,8,0,0,335,30,11,2012
1990,2,0,185609468,0,0,16,58932,402943,125293,57448,3,13,10,0,5,561,14,7,2013
1958,1,0,166493085,0,0,63,110334,1850899,234025,214722,0,5,12,0,4,561,14,7,2013
1975,0,1,27755830,0,0,36,12138,25910,35731,25334,0,0,2,0,2,567,16,7,2013
1970,1,1,165720429,0,0,26,253548,1526666,344949,187834,0,4,9,0,4,567,17,7,2013
1980,2,0,162133357,0,0,35,172998,1839866,358456,12572,1,5,5,0,6,560,15,7,2013
1973,2,0,165168000,0,0,69,337841,534072,230225,50575,0,2,7,0,0,911,29,6,2014
1996,2,0,72175000,0,0,59,2023,14161,0,8092,2,0,2,0,1,818,28,3,2014
1984,3,2,166316542,0,0,61,76665,519125,67162,57182,1,6,6,0,6,560,11,7,2013
1973,2,0,199458366,0,0,39,85804,1650092,172585,153359,1,4,10,0,5,560,12,7,2013
1962,0,2,57674000,0,0,75,18207,14161,14161,22253,0,5,3,0,0,900,18,6,2014
1979,1,0,78774552,1,0,67,12067,64454,32297,21468,1,4,2,0,1,560,13,7,2013
1955,2,0,108951000,1,1,30,2023,50575,16184,4046,4,3,4,0,0,516,30,5,2013
1958,3,2,160740818,0,0,57,37401,824684,49011,67841,1,2,7,0,2,561,16,7,2013
1952,3,2,134968019,0,1,62,10344,106585,12367,7403,4,4,7,0,4,562,15,7,2013
1966,2,0,84294783,1,0,15,0,90769,7506,9658,2,2,2,0,6,560,14,7,2013
1965,4,3,168927000,0,0,87,153748,790993,242760,2023,1,2,9,0,5,492,6,5,2013
1977,2,0,79600854,1,0,30,13820,128292,11797,7671,2,7,2,0,3,565,17,7,2013
1969,2,0,105217740,0,0,53,17596,212518,86669,40293,0,2,2,0,3,561,16,7,2013
1982,4,2,123989000,1,0,63,0,273105,143633,80920,1,1,11,0,1,234,21,8,2012
1974,2,1,85866146,1,0,45,19627,219139,25179,40433,7,8,6,0,6,562,15,7,2013
1959,1,2,112240000,0,1,19,0,22253,0,10115,0,0,5,0,0,811,21,3,2014
1979,1,1,164645031,0,0,22,63031,602608,130534,123826,1,3,9,0,5,561,15,7,2013
1978,2,0,42713910,1,0,50,8478,6453,771,14451,2,1,6,0,0,560,16,7,2013
1958,1,1,110971271,0,1,47,15687,60156,3016,0,4,5,7,0,5,565,19,7,2013
1999,2,0,38147109,1,0,64,25663,38437,54643,1941,3,6,4,0,0,567,18,7,2013
1958,2,2,158821305,0,0,65,56732,1507216,159438,293320,2,3,5,0,5,567,19,7,2013
1978,1,1,29618765,1,0,48,6085,27653,6052,54137,3,2,4,0,6,561,16,7,2013
1964,2,3,134001191,0,1,64,9519,398732,99344,76865,5,6,10,0,5,567,19,7,2013
1991,1,1,142839072,0,0,76,101938,1367288,53935,107682,2,5,9,0,0,560,14,7,2013
1977,1,0,103517649,0,0,56,39141,258688,35951,45962,5,7,4,0,4,561,14,7,2013
1963,2,1,108832439,0,0,18,187982,905430,77137,34447,2,5,6,0,6,568,17,7,2013
1976,2,1,78360332,1,0,11,2402,29662,480,0,1,3,2,0,5,559,14,7,2013
1960,2,0,138357738,0,0,30,74339,1003489,218280,137727,1,2,5,0,5,562,16,7,2013
1958,3,2,103532012,0,1,75,5556,437360,158126,118546,4,5,7,0,2,565,17,7,2013
1968,4,0,93198422,0,0,78,4850,183484,47757,17030,5,5,5,0,3,567,18,7,2013
1961,2,1,179932405,0,0,31,148172,1373597,113202,49359,3,5,7,0,6,561,17,7,2013
1955,4,2,122645235,0,1,5,2119,83463,8261,9105,5,8,8,0,0,566,18,7,2013
1980,3,2,95124000,1,0,81,0,24276,4046,6069,2,3,4,0,0,560,13,7,2013
1967,2,0,191777114,0,0,72,121817,1717050,91621,25779,1,4,7,0,5,560,14,7,2013
1983,4,2,183142149,0,0,48,85809,1010674,95578,73946,0,8,11,0,3,560,12,7,2013
1962,3,1,177562000,0,0,85,180047,833476,151725,260967,1,8,9,0,5,561,15,7,2013
1966,2,1,46486000,1,0,71,6069,34391,10115,0,2,5,2,0,0,756,25,1,2014
1970,2,2,160047000,1,0,75,248829,422807,24276,250852,3,5,5,0,0,513,27,5,2013
1989,1,0,104291236,0,0,33,61427,392859,64014,64532,5,6,2,0,4,561,17,7,2013
1957,2,2,94224000,0,0,73,80920,309331,311542,125426,3,5,12,0,0,465,9,4,2013
1960,3,0,151006977,1,1,52,146602,541863,22298,6367,1,6,11,0,0,563,15,7,2013
1972,3,2,151471720,0,0,34,33380,556190,55851,38223,2,3,8,0,1,567,16,7,2013
1958,4,1,121868626,0,1,70,15989,151507,6688,6688,1,7,9,0,0,562,16,7,2013
1969,4,2,120677000,0,1,33,0,36414,6069,0,0,4,3,0,0,669,30,10,2013
1991,2,0,38016000,1,0,53,10115,38437,40460,10115,3,5,5,0,0,692,22,11,2013
1975,2,0,85034246,1,0,33,22486,89125,16117,22386,4,4,4,0,5,560,14,7,2013
1973,4,0,121732000,0,1,73,4761,38437,10115,6697,1,7,4,0,0,767,5,2,2014
1965,3,0,124210686,0,1,59,80610,269176,68549,10851,2,5,9,0,5,562,16,7,2013
1977,3,0,76564320,1,0,30,8173,212152,38143,9381,4,6,5,0,5,565,17,7,2013
1955,3,1,170085422,0,0,60,106055,874755,352168,246589,0,4,11,0,6,561,17,7,2013
1983,0,0,48986373,1,0,28,17687,39761,51273,10115,2,3,2,0,3,562,19,7,2013
1966,2,0,82988422,1,0,13,10919,27701,16230,26528,2,4,1,0,6,562,16,7,2013
1976,4,3,140030717,0,1,99,36989,237580,82125,100129,4,4,9,0,0,561,14,7,2013
1941,2,1,108413300,0,0,23,67655,207910,97141,17348,1,9,4,0,4,566,17,7,2013
1974,2,0,59289667,1,0,43,2352,49847,4039,3024,1,0,2,0,1,559,14,7,2013
1958,3,1,155964994,0,0,22,49983,811078,94641,72138,2,6,6,0,5,568,17,7,2013
1995,2,0,16906438,0,0,73,44738,189597,7528,40128,20,2,2,0,0,561,13,7,2013
1950,4,2,71353440,0,1,8,0,10746,2276,1517,3,1,0,0,0,561,18,7,2013
1989,3,1,184281052,0,0,90,269540,1352279,174561,177449,2,4,6,0,3,561,14,7,2013
1967,2,2,154389000,0,0,9,147679,610946,317611,293335,0,3,6,0,1,539,22,6,2013
1959,1,1,166517160,0,0,33,133927,1664009,397228,260493,0,7,11,0,4,561,17,7,2013
1969,2,2,64002000,1,0,8,8092,10115,6069,8092,0,0,3,0,1,811,21,3,2014
1961,4,2,116048413,0,1,106,135321,1035674,170439,117935,5,2,9,0,0,567,17,7,2013
1968,4,2,155773508,0,0,22,122760,840496,247904,104250,1,4,7,0,3,567,19,7,2013
1956,3,2,80458082,1,1,19,1630,2352,1176,4892,1,0,4,0,2,561,15,7,2013
1953,2,1,96720614,0,1,20,13515,333898,39230,70940,4,9,6,0,3,565,18,7,2013
1962,2,0,156995823,0,0,61,156817,1289155,174692,58737,0,1,8,0,0,561,14,7,2013
1956,3,0,124319810,0,0,86,23988,153239,29319,6663,1,10,8,0,4,561,14,7,2013
1970,3,0,61379333,1,0,30,7085,9139,7075,0,2,0,3,0,3,560,15,7,2013
1960,2,2,109893653,0,0,11,40876,253489,55658,13418,5,6,5,0,4,567,19,7,2013
1964,2,0,37120783,0,0,57,9067,61427,36937,26965,4,1,5,0,0,567,18,7,2013
1971,3,3,52502000,1,0,18,0,52598,12138,6069,1,6,4,0,6,260,16,9,2012
1963,4,2,117261771,0,0,71,6436,124721,1604,4848,2,3,9,0,3,561,16,7,2013
1977,1,1,29747055,1,0,68,19153,29148,16827,74157,4,2,4,0,6,560,15,7,2013
1971,2,0,163409566,0,0,31,96417,603097,190263,145045,1,5,9,0,5,561,15,7,2013
1981,3,2,92059000,1,0,50,24276,58667,20315,10115,0,0,1,0,0,458,2,4,2013
1955,2,2,52272433,1,0,32,3291,7923,3018,8228,0,2,4,0,1,561,16,7,2013
1959,1,2,166511337,0,0,50,130005,1681431,312281,241818,0,8,10,0,4,561,15,7,2013
1988,2,2,151914000,0,0,26,323680,1258306,121380,60690,0,10,13,0,2,721,21,12,2013
1975,2,1,51358000,1,1,42,12138,34391,32368,16184,5,3,2,0,0,380,14,1,2013
1944,3,1,139668000,0,0,30,109242,552279,196231,10115,3,4,5,0,0,844,23,4,2014
1969,3,0,170116516,0,0,69,164138,1184355,220351,201382,0,5,8,0,6,560,15,7,2013
1962,3,1,115084020,0,1,68,17101,146772,23716,18118,1,7,5,0,1,568,17,7,2013
1953,2,2,105639109,0,1,57,2023,23654,2988,8869,0,0,2,0,3,562,16,7,2013
1984,2,0,142745000,0,0,67,95081,1090397,44506,0,3,0,10,0,0,277,3,10,2012
1959,1,1,102499701,1,1,62,16184,58667,2023,0,5,6,7,0,5,502,16,5,2013
1969,2,1,179475520,0,0,32,304671,1363556,188701,286961,0,7,3,0,1,562,17,7,2013
1982,1,1,54566783,1,0,27,6008,10840,10737,9475,2,4,2,0,0,565,18,7,2013
1968,2,1,150502991,0,0,15,200724,1476057,211056,212900,2,9,5,0,6,571,22,7,2013
1973,1,2,141849364,0,0,43,73743,1019059,133597,16383,1,8,6,0,0,561,14,7,2013
1978,2,1,78139771,1,0,13,758,30868,151,0,1,3,2,0,5,558,13,7,2013
1960,3,1,93851000,0,1,2,0,14161,0,0,2,2,5,0,0,682,12,11,2013
1978,0,1,39820851,0,0,25,12358,12818,7650,13039,0,0,2,0,1,565,17,7,2013
1976,3,3,159047869,0,0,8,107224,1727463,36451,163853,0,6,3,0,6,561,15,7,2013
1964,2,1,130441229,0,1,94,49688,781481,148214,83577,1,3,6,0,1,560,15,7,2013
1973,4,1,119738026,0,1,43,2918,67122,7427,4479,2,3,4,0,1,561,14,7,2013
1960,2,2,121442820,0,1,61,54536,163749,15320,73903,3,4,6,0,2,561,16,7,2013
1984,1,2,115001184,1,0,67,66230,235832,67824,64157,5,5,5,0,2,561,15,7,2013
1955,2,0,152051390,0,0,40,159455,335894,114394,74774,3,10,3,0,4,568,17,7,2013
1973,2,1,147837784,0,0,68,60652,292222,259,34353,1,3,3,0,4,560,15,7,2013
1978,2,1,130077116,0,0,62,106987,526223,106888,254301,1,4,8,0,1,560,12,7,2013
1974,4,2,119936000,1,1,78,2023,76874,10115,0,3,3,4,0,1,689,19,11,2013
1957,2,4,152258606,0,0,70,40460,1068144,72828,124303,3,8,3,0,1,265,21,9,2012
1975,2,2,92709000,1,1,9,24276,220507,36414,26299,9,6,11,0,6,567,20,7,2013
1959,3,0,109441579,1,1,12,6630,134980,7956,3315,9,7,7,0,4,565,15,7,2013
1954,3,1,153079656,0,0,52,216006,529858,296034,108013,0,10,6,0,0,567,17,7,2013
1976,3,2,159090631,0,0,44,95351,633579,74049,9650,0,6,8,0,5,559,12,7,2013
1973,1,1,83001000,1,1,95,0,6069,8092,0,3,0,4,0,0,262,18,9,2012
1963,3,2,169398394,0,0,52,74647,1071062,99356,116750,0,4,10,0,3,561,15,7,2013
1954,2,1,188653237,0,0,40,100838,1523838,378563,158444,0,3,8,0,2,561,15,7,2013
1980,3,0,64404588,1,0,57,9611,26823,4549,2501,1,1,3,0,3,558,13,7,2013
1950,3,3,134984477,0,0,8,14602,239819,26483,17513,4,5,8,0,4,565,18,7,2013
1961,2,3,134945000,0,1,54,48552,256921,24276,40460,3,5,4,0,0,568,17,7,2013
1969,2,1,120175397,0,1,24,20230,190951,13889,43371,0,7,8,0,3,561,12,7,2013
1967,2,1,125853986,0,0,73,25696,479296,67937,64204,0,3,7,0,4,560,14,7,2013
1978,4,0,116230000,1,1,50,167909,279174,208369,101150,4,6,9,0,1,424,27,2,2013
1966,3,0,140368665,0,0,36,40642,991666,33945,66766,4,2,4,0,5,568,19,7,2013
1978,2,2,108321000,0,1,53,18207,317611,44506,0,4,5,7,0,0,402,5,2,2013
1968,2,2,95078507,0,1,31,2749,44506,1453,0,4,4,6,0,5,567,19,7,2013
1988,1,1,106603487,1,0,30,182381,474835,14472,69871,2,8,7,0,0,561,15,7,2013
1972,2,4,88426723,1,0,83,28136,206699,18390,9562,4,7,1,0,0,567,18,7,2013
1953,3,1,134796209,0,1,66,9394,117471,13578,7515,3,4,7,0,4,562,15,7,2013
1971,3,0,191753823,0,0,31,123021,1091814,339584,158101,0,3,8,0,2,561,16,7,2013
1977,3,1,133906000,0,1,3,0,463267,28322,38437,3,4,9,0,6,687,17,11,2013
1974,4,1,73453650,1,0,48,0,10497,1312,0,0,0,1,0,1,560,15,7,2013
1976,2,1,55839000,1,0,47,2023,24276,28322,20230,3,0,6,0,2,772,10,2,2014
1970,2,2,157185000,0,1,85,58667,859775,24276,388416,4,7,3,0,0,623,14,9,2013
1961,4,2,161282000,0,1,0,188139,663544,339864,103173,3,7,13,0,0,650,11,10,2013
1968,2,1,120678000,0,1,51,14161,224553,78897,52598,5,10,13,0,5,541,24,6,2013
1981,2,1,77965406,0,0,9,6509,26214,24936,36722,1,2,0,0,5,559,11,7,2013
1943,4,0,127494000,0,0,71,32368,530026,161840,135541,1,6,8,0,0,847,26,4,2014
1972,3,2,76312000,1,0,46,2023,78897,10115,6069,0,0,3,0,0,631,22,9,2013
1987,1,3,70066000,1,0,24,2023,8092,6069,0,0,0,4,0,2,433,8,3,2013
1972,2,1,173929485,0,0,10,99149,1317729,107387,301298,0,7,7,0,6,561,16,7,2013
1947,2,2,83934000,0,0,47,26299,20230,42483,10115,2,4,5,0,0,613,4,9,2013
1959,1,0,166355549,0,0,81,114636,1941971,127894,175999,0,4,12,0,4,561,15,7,2013
1978,2,1,53627560,0,0,15,27615,56450,13293,29991,2,4,2,0,1,565,17,7,2013
1976,2,0,181636485,0,0,48,309161,1918869,231754,245784,0,5,8,0,6,560,14,7,2013
1973,1,2,49103000,1,0,46,8092,17447,4046,6069,0,2,3,0,1,335,30,11,2012
1981,2,2,84236876,1,0,64,23334,175914,5598,36884,4,6,5,0,5,561,13,7,2013
1965,2,1,85103041,1,0,22,12822,155603,8583,18753,4,4,4,0,6,562,15,7,2013
1956,2,2,130944263,0,0,10,74513,872120,74786,36617,2,4,4,0,0,565,18,7,2013
1959,3,3,134102621,0,0,1,130037,900362,159271,81628,0,2,6,0,6,561,16,7,2013
1962,3,2,86461987,0,0,14,256422,283013,131987,81327,0,8,7,0,0,567,16,7,2013
1952,3,1,164834512,0,0,78,206346,1576608,17317,104186,0,4,8,0,4,568,19,7,2013
1974,3,2,119790109,0,1,79,15307,112093,17863,33810,3,3,6,0,1,560,15,7,2013
1984,2,2,166459000,0,0,25,265013,1549618,52598,378301,2,3,7,0,5,459,3,4,2013
1978,2,0,40859694,0,0,8,12972,17874,20689,5694,0,1,1,0,3,567,18,7,2013
1970,2,1,104263684,0,0,28,34513,419205,180818,64179,1,6,3,0,3,561,16,7,2013
1992,2,0,61008435,1,0,46,601,32585,24058,1855,0,4,2,0,0,560,15,7,2013
1980,1,1,139701000,0,0,41,198254,912373,445060,204323,0,4,8,0,0,272,28,9,2012
1972,0,1,57341000,1,0,18,8092,4046,18166,6069,0,4,0,0,1,595,17,8,2013
1989,2,1,45076000,1,0,31,26299,24276,12138,34391,4,5,5,0,0,407,10,2,2013
1963,1,1,164188357,0,0,51,80291,546857,247148,163779,0,4,10,0,5,561,15,7,2013
1956,3,2,106915021,0,1,54,8092,52598,18207,0,3,5,5,0,1,730,30,12,2013
1965,2,1,131453241,0,1,103,75299,157827,27373,89743,3,5,3,0,2,562,16,7,2013
1960,3,2,113232360,0,1,53,7908,119770,3172,9540,3,10,4,0,4,567,18,7,2013
1972,3,0,159339000,0,0,44,44506,1242122,163863,127449,0,6,10,0,1,469,13,4,2013
1961,3,1,72031421,1,0,38,6496,41373,2042,4834,6,1,5,0,1,560,13,7,2013
1968,2,2,161427726,0,0,60,25291,503553,107888,78508,3,4,6,0,2,562,16,7,2013
