tahun_kelahiran,pendidikan,status_pernikahan,pendapatan,jumlah_anak_balita,jumlah_anak_remaja,terakhir_belanja,belanja_buah,belanja_daging,belanja_ikan,belanja_kue,pembelian_diskon,pembelian_web,pembelian_toko,keluhan,tanggal_menjadi_anggota
1978,Sarjana,Rencana Menikah,165149726.0,0.0,0.0,37.0,334725.0,1445610.0,227993.0,,0.0,3.0,8.0,,
1963,Sarjana,Sendiri,46310360.0,,0.0,52.0,14248.0,42382.0,14248.0,31438.0,0.0,2.0,5.0,0.0,
1976,Sarjana,Menikah,45293952.0,1.0,0.0,7.0,15749.0,28178.0,16908.0,3323.0,2.0,1.0,2.0,0.0,
1957,Sarjana,Sendiri,138335222.0,0.0,0.0,32.0,80516.0,1011672.0,205464.0,138808.0,1.0,2.0,5.0,0.0,
1965,Doktor,Rencana Menikah,129081963.0,0.0,0.0,68.0,27020.0,497779.0,14473.0,29636.0,0.0,9.0,5.0,0.0,
1983,SMA,Rencana Menikah,114496463.0,1.0,0.0,39.0,115024.0,487382.0,20814.0,81275.0,7.0,8.0,9.0,0.0,
1976,Sarjana,Rencana Menikah,78587154.0,1.0,0.0,11.0,0.0,63546.0,5668.0,8097.0,1.0,3.0,1.0,0.0,
1966,Magister,Rencana Menikah,167827639.0,0.0,0.0,85.0,73519.0,1357411.0,100377.0,71628.0,2.0,4.0,3.0,0.0,
1970,Sarjana,Cerai,172433000.0,0.0,0.0,0.0,210392.0,,226576.0,382347.0,1.0,7.0,4.0,0.0,
1969,Sarjana,Rencana Menikah,158986066.0,0.0,0.0,41.0,123562.0,349825.0,65464.0,151418.0,0.0,0.0,7.0,0.0,
1968,SMA,Rencana Menikah,93465979.0,0.0,0.0,79.0,165667.0,396315.0,378641.0,267747.0,,8.0,4.0,0.0,
1945,Sarjana,Cerai,170029980.0,0.0,0.0,63.0,146935.0,1661274.0,147776.0,184982.0,0.0,4.0,4.0,0.0,
1982,SMA,Rencana Menikah,65969640.0,0.0,0.0,27.0,14129.0,6981.0,,11844.0,2.0,0.0,1.0,0.0,
1955,Doktor,Menikah,122639277.0,0.0,1.0,3.0,2872.0,59921.0,17237.0,13060.0,5.0,8.0,8.0,0.0,
1967,Sarjana,Sendiri,107216790.0,1.0,1.0,22.0,27622.0,217400.0,25255.0,28412.0,8.0,7.0,5.0,0.0,
1966,Doktor,Sendiri,131240449.0,0.0,0.0,50.0,41038.0,312304.0,25863.0,32793.0,3.0,5.0,6.0,0.0,
1982,Magister,Sendiri,,0.0,0.0,27.0,92603.0,1135041.0,99304.0,350012.0,1.0,1.0,5.0,0.0,
1964,Sarjana,Rencana Menikah,99204000.0,0.0,1.0,93.0,86989.0,137564.0,129472.0,28322.0,6.0,1.0,9.0,0.0,
1978,Sarjana,Rencana Menikah,161280978.0,0.0,0.0,42.0,,451048.0,275387.0,37596.0,3.0,2.0,6.0,0.0,
1949,Magister,Menikah,117009970.0,0.0,1.0,70.0,3.0,50587.0,8088.0,8088.0,0.0,4.0,3.0,0.0,
1983,Sarjana,Menikah,79412000.0,1.0,0.0,87.0,58667.0,184093.0,66759.0,10115.0,1.0,3.0,3.0,0.0,2013-09-30
1965,Sarjana,Sendiri,,0.0,0.0,67.0,179654.0,1815582.0,155657.0,155965.0,0.0,3.0,11.0,0.0,
1976,Sarjana,Rencana Menikah,41864157.0,1.0,0.0,80.0,10176.0,,4863.0,5435.0,1.0,0.0,2.0,0.0,
1956,Sarjana,Menikah,151692174.0,0.0,1.0,75.0,157601.0,356824.0,144424.0,77641.0,3.0,9.0,,0.0,
1985,Sarjana,Sendiri,190730542.0,0.0,0.0,66.0,144909.0,1908946.0,82066.0,42500.0,2.0,3.0,9.0,0.0,
1968,Sarjana,Menikah,135085091.0,,0.0,26.0,,558881.0,83351.0,24569.0,2.0,6.0,8.0,0.0,
1973,,Rencana Menikah,92281916.0,0.0,1.0,57.0,137375.0,287506.0,249047.0,198114.0,5.0,8.0,4.0,0.0,
1978,Sarjana,Rencana Menikah,54663000.0,1.0,0.0,43.0,10115.0,38437.0,4046.0,2023.0,,3.0,2.0,0.0,2013-02-10
1962,Sarjana,Sendiri,84447093.0,,0.0,8.0,4661.0,115765.0,11346.0,12365.0,2.0,3.0,4.0,0.0,
1966,Sarjana,Sendiri,110521000.0,0.0,1.0,59.0,2023.0,180047.0,52598.0,50575.0,1.0,9.0,9.0,0.0,2012-08-21
1961,Sarjana,Menikah,57528000.0,1.0,1.0,90.0,18207.0,28322.0,12138.0,,3.0,0.0,5.0,0.0,2013-08-11
1972,Sarjana,Menikah,50693866.0,1.0,0.0,55.0,3850.0,21795.0,8287.0,11202.0,1.0,4.0,2.0,0.0,
1976,Magister,Rencana Menikah,73228529.0,1.0,0.0,40.0,6119.0,3161.0,2031.0,133.0,0.0,0.0,3.0,0.0,
1948,SMA,Rencana Menikah,136345017.0,0.0,0.0,32.0,80118.0,714242.0,228120.0,222279.0,3.0,4.0,3.0,0.0,
1977,Sarjana,Rencana Menikah,78250460.0,1.0,0.0,12.0,1583.0,28516.0,316.0,0.0,1.0,3.0,2.0,0.0,
1981,Sarjana,Menikah,110037000.0,1.0,1.0,47.0,8092.0,72828.0,0.0,0.0,4.0,1.0,6.0,0.0,2013-02-04
1970,Sarjana,Sendiri,46172599.0,1.0,0.0,25.0,8845.0,34148.0,8340.0,20472.0,2.0,3.0,2.0,0.0,
1971,Sarjana,Cerai,139150240.0,0.0,0.0,56.0,15379.0,418068.0,128202.0,34836.0,4.0,3.0,10.0,0.0,
1951,Magister,Menikah,135011336.0,0.0,1.0,55.0,10575.0,97798.0,12598.0,6709.0,4.0,4.0,7.0,0.0,
1955,,Sendiri,112386692.0,0.0,0.0,59.0,154481.0,978944.0,316137.0,158297.0,2.0,9.0,4.0,0.0,
1968,SMA,,98320764.0,1.0,1.0,77.0,5392.0,80264.0,8768.0,10115.0,6.0,3.0,2.0,0.0,
1975,SMP,Menikah,37600000.0,1.0,0.0,0.0,24276.0,24276.0,22253.0,10115.0,0.0,0.0,4.0,0.0,2014-03-31
1952,,Sendiri,72796000.0,0.0,1.0,39.0,86989.0,252875.0,131495.0,105196.0,4.0,1.0,4.0,0.0,2013-02-02
1955,Magister,Rencana Menikah,170052000.0,0.0,0.0,60.0,105196.0,875959.0,354025.0,,0.0,3.0,12.0,0.0,2012-11-20
1962,Sarjana,Menikah,149116771.0,0.0,0.0,,97598.0,290744.0,58287.0,24102.0,1.0,6.0,10.0,0.0,
1967,,Rencana Menikah,122800000.0,1.0,,58.0,50575.0,135541.0,68782.0,0.0,4.0,8.0,7.0,0.0,2012-09-23
1979,Sarjana,Menikah,119960000.0,0.0,1.0,77.0,260967.0,687820.0,0.0,95081.0,3.0,7.0,12.0,0.0,2012-08-30
1969,Sarjana,Sendiri,105046701.0,0.0,0.0,48.0,20629.0,249572.0,103547.0,37617.0,0.0,2.0,2.0,0.0,
1960,Sarjana,Rencana Menikah,77879460.0,1.0,0.0,43.0,17818.0,85235.0,37006.0,34265.0,3.0,0.0,4.0,0.0,
1964,Sarjana,Menikah,86689883.0,0.0,1.0,61.0,0.0,122840.0,4076.0,2738.0,5.0,,2.0,0.0,
1981,Sarjana,Sendiri,56625000.0,,0.0,53.0,12138.0,54621.0,0.0,14161.0,,0.0,,0.0,2013-06-15
1971,Magister,Sendiri,94788865.0,0.0,1.0,10.0,6555.0,75101.0,,2266.0,4.0,6.0,5.0,0.0,
1961,,Sendiri,152544588.0,0.0,0.0,10.0,133541.0,340948.0,148377.0,50451.0,2.0,10.0,4.0,0.0,
1969,Magister,Sendiri,126368979.0,0.0,0.0,73.0,45678.0,863781.0,130640.0,,0.0,2.0,,0.0,
1952,Sarjana,Menikah,117471159.0,0.0,1.0,,21773.0,182893.0,13116.0,31540.0,0.0,1.0,,0.0,
1973,,Menikah,80621000.0,0.0,1.0,46.0,0.0,4046.0,4046.0,,3.0,3.0,7.0,0.0,2013-10-11
1950,SMP,Rencana Menikah,59197000.0,0.0,0.0,49.0,,8092.0,22253.0,0.0,1.0,2.0,0.0,0.0,2012-11-18
1972,,,79405134.0,1.0,0.0,4.0,3281.0,93763.0,,13667.0,1.0,4.0,0.0,0.0,
1963,Sarjana,Rencana Menikah,164534883.0,0.0,0.0,44.0,290469.0,1465434.0,148297.0,98986.0,0.0,1.0,8.0,0.0,
1979,Sarjana,Menikah,60295918.0,1.0,0.0,85.0,0.0,17440.0,2501.0,3089.0,3.0,3.0,0.0,0.0,
1971,Sarjana,Sendiri,84600465.0,1.0,1.0,38.0,19718.0,128800.0,12805.0,26898.0,5.0,4.0,5.0,0.0,
1973,Magister,Rencana Menikah,94587994.0,0.0,1.0,63.0,14804.0,50691.0,30180.0,31885.0,7.0,0.0,,0.0,
1969,Magister,Menikah,84416048.0,1.0,0.0,58.0,957.0,47204.0,2023.0,,2.0,1.0,2.0,0.0,
1993,SMA,Rencana Menikah,48270706.0,1.0,0.0,29.0,29284.0,123705.0,400.0,21755.0,4.0,0.0,,0.0,
1964,SMA,Rencana Menikah,65763830.0,0.0,0.0,47.0,206725.0,205369.0,216507.0,32525.0,3.0,2.0,5.0,0.0,
1977,Doktor,Sendiri,130165708.0,0.0,0.0,56.0,31099.0,567133.0,29976.0,73697.0,1.0,6.0,4.0,0.0,
1954,Sarjana,Menikah,140558562.0,0.0,0.0,75.0,69643.0,427676.0,,71734.0,1.0,6.0,10.0,0.0,
1981,Magister,Sendiri,147116317.0,0.0,0.0,8.0,48120.0,1089601.0,144997.0,,1.0,0.0,8.0,0.0,
1954,Sarjana,Menikah,159588000.0,0.0,0.0,77.0,28322.0,1648745.0,64736.0,345933.0,3.0,3.0,6.0,0.0,2013-09-22
1971,Doktor,Menikah,60548000.0,1.0,0.0,19.0,0.0,12138.0,10115.0,0.0,4.0,0.0,4.0,0.0,2014-04-27
1989,Sarjana,Sendiri,45268614.0,1.0,0.0,64.0,0.0,15277.0,18951.0,323.0,0.0,1.0,3.0,0.0,
1965,Sarjana,Rencana Menikah,110946919.0,0.0,1.0,86.0,,33659.0,4342.0,3452.0,4.0,5.0,3.0,0.0,
1969,Magister,Sendiri,94918102.0,0.0,0.0,94.0,31383.0,410262.0,45648.0,30553.0,5.0,10.0,17.0,0.0,
1975,Sarjana,Rencana Menikah,130048010.0,0.0,1.0,56.0,146499.0,784690.0,169444.0,360368.0,1.0,4.0,10.0,0.0,
1973,SMA,Rencana Menikah,165506120.0,0.0,0.0,24.0,285725.0,1489722.0,330886.0,168290.0,0.0,3.0,9.0,0.0,
1965,Sarjana,Menikah,125296000.0,0.0,1.0,73.0,4046.0,62713.0,,0.0,0.0,5.0,6.0,0.0,
1985,Sarjana,Menikah,150319666.0,0.0,0.0,87.0,149529.0,871194.0,111351.0,196718.0,1.0,8.0,8.0,0.0,
1962,Doktor,Menikah,117279093.0,0.0,0.0,71.0,7210.0,130984.0,1886.0,4989.0,2.0,3.0,9.0,0.0,
1977,,Sendiri,76566348.0,1.0,0.0,30.0,8203.0,211991.0,38170.0,9448.0,4.0,6.0,5.0,0.0,
1970,Sarjana,Rencana Menikah,164363292.0,0.0,0.0,30.0,81423.0,571726.0,160928.0,165374.0,0.0,5.0,8.0,0.0,
1952,Doktor,Cerai,170943344.0,,0.0,27.0,97241.0,1126126.0,145319.0,186336.0,2.0,4.0,10.0,,
1962,Magister,Cerai Mati,170872215.0,0.0,0.0,38.0,,1333681.0,133229.0,201721.0,1.0,4.0,10.0,0.0,
1970,Sarjana,Rencana Menikah,102657386.0,0.0,1.0,46.0,,286884.0,74379.0,8823.0,0.0,5.0,5.0,0.0,
1957,Magister,Rencana Menikah,152987957.0,0.0,0.0,48.0,196505.0,444694.0,351866.0,10132.0,0.0,10.0,7.0,0.0,
1959,Sarjana,Rencana Menikah,91579000.0,0.0,1.0,,,46529.0,6069.0,10115.0,5.0,3.0,4.0,0.0,2013-03-15
1980,Sarjana,Sendiri,130790000.0,0.0,1.0,63.0,101150.0,204323.0,101150.0,58667.0,0.0,4.0,9.0,0.0,2013-08-05
1951,Sarjana,Menikah,66216539.0,0.0,1.0,103.0,25118.0,73264.0,13250.0,9002.0,0.0,2.0,5.0,0.0,
1925,Magister,Menikah,169893138.0,0.0,0.0,53.0,210671.0,1433370.0,,156011.0,1.0,4.0,4.0,0.0,
1969,Sarjana,Rencana Menikah,70353000.0,1.0,1.0,3.0,64736.0,,16184.0,,7.0,8.0,4.0,0.0,2013-01-01
1978,Magister,Menikah,90842000.0,1.0,1.0,24.0,0.0,24276.0,0.0,0.0,4.0,0.0,3.0,0.0,2014-04-19
1969,Sarjana,Menikah,94856967.0,0.0,1.0,26.0,2526.0,44506.0,1007.0,0.0,4.0,4.0,6.0,0.0,
1971,Sarjana,Menikah,26174000.0,1.0,1.0,46.0,8092.0,26299.0,28322.0,0.0,5.0,1.0,5.0,0.0,2013-08-23
1967,Sarjana,Rencana Menikah,80455365.0,0.0,0.0,,2234.0,10961.0,0.0,0.0,1.0,2.0,1.0,0.0,
1978,SMA,Menikah,92046441.0,0.0,1.0,34.0,1904.0,294312.0,157690.0,32846.0,2.0,2.0,4.0,0.0,
1989,Magister,Rencana Menikah,88376000.0,0.0,0.0,18.0,0.0,,46529.0,,1.0,4.0,4.0,0.0,2013-04-30
1981,Sarjana,Menikah,31639996.0,0.0,0.0,42.0,2140.0,5533.0,14578.0,8927.0,0.0,0.0,0.0,0.0,
1977,Sarjana,Sendiri,138331469.0,0.0,0.0,19.0,17887.0,1006424.0,294934.0,,2.0,7.0,6.0,0.0,
1981,Magister,Sendiri,33327000.0,1.0,0.0,13.0,18207.0,56644.0,40460.0,0.0,1.0,5.0,1.0,0.0,2014-04-18
1960,Doktor,Menikah,114736310.0,0.0,0.0,82.0,68984.0,145695.0,58337.0,27201.0,3.0,3.0,6.0,0.0,
1953,Magister,Menikah,78215179.0,1.0,0.0,34.0,,26299.0,0.0,0.0,5.0,1.0,1.0,0.0,
1966,Sarjana,Menikah,,0.0,0.0,95.0,70805.0,12138.0,6069.0,52598.0,0.0,,3.0,0.0,2014-04-25
1973,Doktor,Sendiri,,0.0,1.0,0.0,10115.0,111265.0,,14161.0,6.0,8.0,7.0,0.0,2012-10-17
1967,Sarjana,Rencana Menikah,152697165.0,0.0,0.0,17.0,114062.0,344694.0,215055.0,23480.0,0.0,10.0,8.0,0.0,
1959,Magister,Rencana Menikah,163235529.0,0.0,0.0,83.0,154579.0,896471.0,146566.0,100495.0,2.0,5.0,9.0,0.0,
1975,SMP,Menikah,64586000.0,0.0,1.0,25.0,2023.0,16184.0,26299.0,2023.0,3.0,4.0,4.0,0.0,2012-10-23
1957,Sarjana,Menikah,137886117.0,0.0,1.0,61.0,55547.0,423524.0,29530.0,75748.0,3.0,4.0,,0.0,
1962,Sarjana,,149288670.0,0.0,0.0,30.0,102769.0,293659.0,63927.0,27675.0,2.0,6.0,9.0,0.0,
1965,Magister,Rencana Menikah,140260224.0,0.0,,68.0,90149.0,242761.0,71161.0,80212.0,2.0,3.0,9.0,0.0,
1972,Magister,Cerai,84072000.0,1.0,1.0,64.0,,190162.0,18207.0,28322.0,7.0,6.0,2.0,0.0,2013-06-28
1965,Doktor,Rencana Menikah,63723000.0,0.0,1.0,20.0,2023.0,,30345.0,8092.0,3.0,3.0,3.0,0.0,2012-12-08
1972,Sarjana,Rencana Menikah,32695112.0,1.0,0.0,63.0,10577.0,,34444.0,7562.0,2.0,3.0,3.0,0.0,
1963,Sarjana,Menikah,154143009.0,0.0,0.0,11.0,207365.0,705307.0,190416.0,138627.0,0.0,9.0,6.0,0.0,
1975,Sarjana,Menikah,115341230.0,0.0,1.0,18.0,87368.0,330594.0,33706.0,66207.0,4.0,7.0,4.0,0.0,
1969,Sarjana,Sendiri,77551000.0,1.0,1.0,,12138.0,287266.0,,24276.0,9.0,6.0,8.0,0.0,2013-03-18
1956,Sarjana,Sendiri,125538551.0,0.0,0.0,49.0,99236.0,697118.0,180357.0,177059.0,0.0,8.0,8.0,0.0,
1951,Doktor,Menikah,128180000.0,0.0,1.0,6.0,2023.0,210392.0,36414.0,70805.0,4.0,6.0,10.0,0.0,2014-01-10
1960,,Sendiri,191282042.0,0.0,0.0,25.0,81587.0,1414470.0,317865.0,243702.0,0.0,3.0,10.0,0.0,
1951,Magister,Rencana Menikah,133730071.0,0.0,,19.0,3406.0,115564.0,27258.0,567.0,2.0,11.0,7.0,0.0,
1972,Sarjana,,101782864.0,0.0,1.0,39.0,17552.0,82841.0,57415.0,24880.0,1.0,5.0,2.0,0.0,
1957,Sarjana,Menikah,127351156.0,0.0,0.0,71.0,114834.0,924963.0,402942.0,206871.0,1.0,1.0,7.0,0.0,
1985,Magister,Rencana Menikah,183830508.0,0.0,0.0,80.0,152181.0,1705453.0,108084.0,96285.0,2.0,6.0,9.0,0.0,
1981,SMA,Rencana Menikah,164727833.0,0.0,0.0,20.0,57758.0,622295.0,116296.0,110116.0,1.0,3.0,9.0,0.0,
1966,Sarjana,Rencana Menikah,156816505.0,0.0,0.0,,50226.0,690497.0,,59059.0,2.0,3.0,4.0,0.0,
1970,Sarjana,,147931959.0,0.0,0.0,15.0,98444.0,530703.0,80838.0,26685.0,0.0,4.0,12.0,0.0,
1969,Sarjana,Rencana Menikah,151620756.0,0.0,0.0,61.0,,762517.0,340381.0,129368.0,1.0,7.0,9.0,0.0,
1977,SMA,Menikah,47554368.0,,0.0,93.0,12758.0,39949.0,17425.0,701.0,1.0,2.0,5.0,0.0,
1963,Sarjana,Sendiri,72377698.0,0.0,1.0,67.0,7946.0,13167.0,9932.0,4966.0,2.0,2.0,4.0,0.0,
1979,Sarjana,Rencana Menikah,92391000.0,1.0,1.0,34.0,0.0,36414.0,12138.0,8092.0,3.0,0.0,3.0,0.0,2012-12-19
1979,Sarjana,Sendiri,143870572.0,0.0,0.0,28.0,95056.0,,212035.0,80848.0,2.0,2.0,10.0,0.0,
1976,SMA,Rencana Menikah,40894000.0,0.0,0.0,12.0,30345.0,18207.0,22253.0,26299.0,1.0,5.0,1.0,0.0,2013-04-30
1973,SMA,,54600000.0,1.0,1.0,17.0,0.0,16184.0,24276.0,6069.0,5.0,5.0,4.0,0.0,2014-04-21
1964,Sarjana,Sendiri,,1.0,0.0,83.0,21622.0,216291.0,4610.0,64369.0,5.0,6.0,1.0,0.0,
1958,Magister,Sendiri,,1.0,1.0,51.0,0.0,26299.0,10115.0,2023.0,2.0,0.0,5.0,0.0,2014-06-02
1965,Doktor,Sendiri,103995000.0,0.0,1.0,,0.0,78897.0,14161.0,0.0,3.0,7.0,8.0,0.0,2014-05-07
1973,Magister,Rencana Menikah,83613000.0,0.0,1.0,47.0,14161.0,26299.0,18207.0,18207.0,0.0,0.0,0.0,0.0,2013-11-03
1962,SMA,Sendiri,81015971.0,0.0,1.0,53.0,14281.0,19922.0,11032.0,8581.0,1.0,1.0,1.0,0.0,
1957,Sarjana,Rencana Menikah,111318457.0,0.0,1.0,64.0,31589.0,229295.0,17973.0,2139.0,5.0,,7.0,0.0,
1968,,Cerai Mati,71839353.0,1.0,0.0,36.0,12583.0,22563.0,0.0,4113.0,0.0,0.0,5.0,0.0,
1972,,Menikah,101938145.0,0.0,0.0,38.0,18146.0,97034.0,68421.0,28368.0,0.0,5.0,2.0,0.0,
1969,Magister,Sendiri,73085914.0,1.0,1.0,100.0,5244.0,26400.0,7210.0,6724.0,3.0,1.0,3.0,0.0,
1967,Sarjana,Menikah,8543000.0,,1.0,0.0,2023.0,14161.0,2023.0,,2.0,27.0,0.0,0.0,2013-10-03
1954,Magister,Rencana Menikah,117238906.0,0.0,1.0,69.0,3458.0,136371.0,2870.0,25572.0,1.0,4.0,11.0,0.0,
1944,Sarjana,,49163527.0,0.0,0.0,2.0,8215.0,4938.0,4653.0,8861.0,0.0,1.0,4.0,0.0,
1971,Doktor,Rencana Menikah,57964000.0,1.0,0.0,86.0,2023.0,42483.0,0.0,4046.0,3.0,2.0,5.0,0.0,2013-07-04
1949,Doktor,Rencana Menikah,147953000.0,0.0,1.0,57.0,147679.0,349979.0,28322.0,26299.0,3.0,6.0,13.0,0.0,2014-01-23
1977,Sarjana,Menikah,136464000.0,0.0,1.0,22.0,38437.0,736372.0,40460.0,103173.0,5.0,8.0,9.0,0.0,2012-09-08
1956,SMA,Rencana Menikah,151796423.0,0.0,0.0,30.0,198915.0,524880.0,145106.0,219443.0,2.0,4.0,8.0,0.0,
1966,SMA,Rencana Menikah,171771140.0,0.0,0.0,69.0,50638.0,701899.0,307211.0,58125.0,,5.0,7.0,0.0,
1976,SMA,Rencana Menikah,120262915.0,0.0,1.0,31.0,54117.0,223804.0,163870.0,121540.0,0.0,10.0,8.0,0.0,
1967,Sarjana,Rencana Menikah,80085386.0,0.0,0.0,45.0,9583.0,30559.0,11553.0,9422.0,1.0,0.0,,0.0,
1980,Sarjana,Rencana Menikah,147400000.0,0.0,0.0,58.0,182070.0,752556.0,202300.0,165886.0,1.0,10.0,7.0,0.0,2014-05-02
1987,Sarjana,Sendiri,81476049.0,,0.0,101.0,38415.0,27767.0,2120.0,26538.0,0.0,1.0,5.0,0.0,
1967,Sarjana,Cerai,147856000.0,0.0,1.0,0.0,76874.0,362117.0,0.0,8092.0,1.0,8.0,10.0,0.0,2012-12-16
1977,SMA,Rencana Menikah,100767199.0,0.0,0.0,53.0,32629.0,3048446.0,45768.0,36117.0,0.0,0.0,3.0,0.0,
1985,Sarjana,Menikah,187973745.0,0.0,0.0,82.0,223502.0,811554.0,147453.0,273163.0,0.0,4.0,7.0,0.0,
1968,Magister,Sendiri,77000492.0,1.0,0.0,,14550.0,177368.0,43940.0,23874.0,4.0,4.0,5.0,0.0,
1966,Sarjana,Menikah,155173842.0,0.0,0.0,64.0,51651.0,842478.0,87659.0,72723.0,1.0,5.0,12.0,0.0,
1970,SMA,Rencana Menikah,192106244.0,0.0,0.0,17.0,42896.0,806968.0,180072.0,216989.0,0.0,5.0,8.0,0.0,
1969,Doktor,Rencana Menikah,136018484.0,0.0,0.0,66.0,73673.0,930731.0,94666.0,82405.0,1.0,5.0,,0.0,
1969,Sarjana,Rencana Menikah,185326028.0,0.0,0.0,41.0,282185.0,1487059.0,348588.0,300467.0,0.0,3.0,10.0,,
1965,Magister,,145981885.0,0.0,1.0,87.0,74245.0,205515.0,14196.0,5919.0,3.0,7.0,,0.0,
1958,Magister,Rencana Menikah,165300739.0,0.0,0.0,85.0,206346.0,1599943.0,23830.0,117753.0,0.0,6.0,8.0,0.0,
1945,Doktor,Menikah,129321000.0,,0.0,67.0,,568463.0,151725.0,86989.0,0.0,5.0,4.0,0.0,2013-05-16
1969,Sarjana,Rencana Menikah,147215196.0,0.0,0.0,53.0,31308.0,826261.0,173885.0,35890.0,0.0,9.0,11.0,0.0,
1954,Sarjana,Sendiri,96261000.0,0.0,1.0,59.0,82943.0,171955.0,99127.0,20230.0,7.0,,3.0,0.0,2012-10-23
1967,Magister,Sendiri,122675586.0,0.0,1.0,93.0,3707.0,84611.0,4110.0,,6.0,2.0,4.0,0.0,
1977,Sarjana,Rencana Menikah,168212951.0,0.0,0.0,84.0,169399.0,917986.0,400889.0,244821.0,2.0,8.0,8.0,0.0,
1963,Sarjana,Sendiri,130340055.0,0.0,0.0,66.0,29933.0,558998.0,103943.0,40850.0,1.0,3.0,7.0,0.0,
1945,Magister,Menikah,117490417.0,,0.0,74.0,15450.0,219634.0,6326.0,19565.0,1.0,7.0,7.0,0.0,
1953,Sarjana,Sendiri,,0.0,0.0,56.0,297842.0,465624.0,184115.0,169633.0,1.0,7.0,11.0,0.0,
1957,Magister,Menikah,160443289.0,0.0,0.0,,28668.0,1147786.0,120965.0,60492.0,0.0,2.0,8.0,0.0,
1912,Doktor,Rencana Menikah,170019169.0,0.0,0.0,37.0,243851.0,1140397.0,186836.0,135737.0,2.0,4.0,5.0,0.0,
1950,Magister,Cerai,73909000.0,0.0,0.0,61.0,2023.0,167909.0,,10115.0,1.0,9.0,6.0,0.0,2013-06-16
1951,Magister,Menikah,138288898.0,0.0,0.0,23.0,2647.0,454173.0,216688.0,197856.0,3.0,6.0,12.0,0.0,
1975,Magister,Sendiri,99740644.0,1.0,0.0,62.0,13973.0,140737.0,4192.0,11032.0,3.0,4.0,3.0,0.0,
1955,Magister,Menikah,159160000.0,0.0,1.0,27.0,113288.0,481474.0,80920.0,0.0,0.0,11.0,5.0,0.0,2014-02-08
1989,Sarjana,Sendiri,18118000.0,1.0,,94.0,0.0,20230.0,0.0,2023.0,0.0,2.0,4.0,0.0,2013-12-18
1961,Doktor,Rencana Menikah,92212335.0,0.0,0.0,46.0,18907.0,41406.0,2619.0,,4.0,5.0,5.0,0.0,
1957,Sarjana,Rencana Menikah,136893944.0,0.0,1.0,88.0,221429.0,,148184.0,188097.0,4.0,10.0,6.0,0.0,
1965,Sarjana,Menikah,38682689.0,0.0,0.0,32.0,6007.0,13339.0,13498.0,12358.0,0.0,,2.0,0.0,
1948,Magister,Rencana Menikah,162320000.0,0.0,0.0,58.0,58667.0,1282582.0,36414.0,89012.0,2.0,6.0,5.0,0.0,2013-12-10
1953,Magister,Cerai,141445000.0,0.0,0.0,72.0,20230.0,436968.0,34391.0,30345.0,1.0,6.0,12.0,0.0,2013-06-02
1971,,Menikah,112707330.0,0.0,0.0,74.0,25148.0,247455.0,26209.0,19224.0,5.0,3.0,7.0,0.0,
1958,Magister,Rencana Menikah,137695468.0,0.0,1.0,100.0,15539.0,96781.0,,16832.0,3.0,5.0,4.0,0.0,
1970,Sarjana,Menikah,73998000.0,1.0,0.0,83.0,72828.0,121380.0,,66759.0,7.0,4.0,6.0,0.0,2012-09-09
1953,Sarjana,Sendiri,101207000.0,0.0,1.0,46.0,6069.0,165886.0,22253.0,0.0,5.0,7.0,11.0,0.0,2013-07-21
1963,Magister,Rencana Menikah,169420884.0,0.0,0.0,55.0,84137.0,827603.0,230016.0,,1.0,3.0,10.0,0.0,
1977,Doktor,Menikah,,1.0,0.0,0.0,6069.0,143633.0,4046.0,0.0,2.0,2.0,8.0,,2013-02-13
1962,Sarjana,Sendiri,166159973.0,0.0,0.0,88.0,152852.0,1821926.0,78729.0,155749.0,0.0,6.0,10.0,,
1979,SMA,Rencana Menikah,164672781.0,0.0,0.0,21.0,61264.0,609206.0,125762.0,,1.0,3.0,9.0,0.0,
1964,Magister,Rencana Menikah,162933272.0,0.0,0.0,88.0,137907.0,688064.0,191165.0,105497.0,3.0,6.0,10.0,0.0,
1951,Sarjana,Menikah,128747947.0,0.0,0.0,59.0,31587.0,335001.0,105408.0,17497.0,1.0,2.0,6.0,0.0,
1970,Magister,Sendiri,88144585.0,1.0,0.0,54.0,,73966.0,33057.0,719.0,0.0,2.0,4.0,,
1956,Sarjana,,149255146.0,0.0,0.0,63.0,215415.0,925823.0,296954.0,272034.0,1.0,6.0,9.0,0.0,
1977,Sarjana,Sendiri,56394000.0,1.0,0.0,,16184.0,271082.0,18207.0,0.0,2.0,3.0,4.0,0.0,2012-12-20
1954,Magister,Sendiri,108977085.0,1.0,1.0,15.0,2023.0,84772.0,2428.0,1011.0,9.0,7.0,7.0,0.0,
1959,Sarjana,,138622039.0,0.0,0.0,30.0,,1005271.0,201987.0,129120.0,2.0,2.0,5.0,0.0,
1956,Sarjana,Rencana Menikah,110333199.0,0.0,1.0,66.0,35653.0,252616.0,21761.0,0.0,6.0,9.0,8.0,0.0,
1980,Magister,Rencana Menikah,175108903.0,0.0,0.0,17.0,39560.0,766240.0,15078.0,36620.0,0.0,9.0,5.0,0.0,
1954,Magister,Rencana Menikah,124075650.0,0.0,1.0,13.0,13286.0,125466.0,18057.0,1788.0,8.0,4.0,9.0,0.0,
